DATE,KOSPI,KOSDAQ
2024-01-02,2669.81005859375,878.9299926757812
2024-01-03,2607.31005859375,871.5700073242188
2024-01-04,2587.02001953125,866.25
2024-01-05,2578.080078125,878.3300170898438
2024-01-08,2567.820068359375,879.3400268554688
2024-01-09,2561.239990234375,884.6400146484375
2024-01-10,2541.97998046875,875.4600219726562
2024-01-11,2540.27001953125,882.530029296875
2024-01-12,2525.050048828125,868.0800170898438
2024-01-15,2525.989990234375,859.7100219726562
2024-01-16,2497.590087890625,854.8300170898438
2024-01-17,2435.89990234375,833.0499877929688
2024-01-18,2440.0400390625,840.3300170898438
2024-01-19,2472.739990234375,842.6699829101562
2024-01-22,2464.35009765625,839.6900024414062
2024-01-23,2478.610107421875,840.1099853515625
2024-01-24,2469.68994140625,836.2100219726562
2024-01-25,2470.340087890625,823.739990234375
2024-01-26,2478.56005859375,837.239990234375
2024-01-29,2500.64990234375,819.1400146484375
2024-01-30,2498.81005859375,818.8599853515625
2024-01-31,2497.090087890625,799.239990234375
2024-02-01,2542.4599609375,798.72998046875
2024-02-02,2615.31005859375,814.77001953125
2024-02-05,2591.31005859375,807.989990234375
2024-02-06,2576.199951171875,807.030029296875
2024-02-07,2609.580078125,811.9199829101562
2024-02-08,2620.320068359375,826.5800170898438
2024-02-13,2649.639892578125,845.1500244140625
2024-02-14,2620.419921875,853.2999877929688
2024-02-15,2613.800048828125,859.2100219726562
2024-02-16,2648.760009765625,857.5999755859375
2024-02-19,2680.260009765625,858.469970703125
2024-02-20,2657.7900390625,866.1699829101562
2024-02-21,2653.31005859375,864.0700073242188
2024-02-22,2664.27001953125,870.1099853515625
2024-02-23,2667.699951171875,868.5700073242188
2024-02-26,2647.080078125,867.4000244140625
2024-02-27,2625.050048828125,853.75
2024-02-28,2652.2900390625,863.3900146484375
2024-02-29,2642.360107421875,862.9600219726562
2024-03-04,2674.27001953125,872.969970703125
2024-03-05,2649.39990234375,866.3699951171875
2024-03-06,2641.489990234375,870.6699829101562
2024-03-07,2647.6201171875,863.3699951171875
2024-03-08,2680.35009765625,873.1799926757812
2024-03-11,2659.840087890625,875.9299926757812
2024-03-12,2681.81005859375,889.7100219726562
2024-03-13,2693.570068359375,889.9299926757812
2024-03-14,2718.760009765625,887.52001953125
2024-03-15,2666.840087890625,880.4600219726562
2024-03-18,2685.840087890625,894.47998046875
2024-03-19,2656.169921875,891.9099731445312
2024-03-20,2690.139892578125,891.4500122070312
2024-03-21,2754.860107421875,904.2899780273438
2024-03-22,2748.56005859375,903.97998046875
2024-03-25,2737.570068359375,913.6900024414062
2024-03-26,2757.090087890625,916.0900268554688
2024-03-27,2755.110107421875,911.25
2024-03-28,2745.820068359375,910.0499877929688
2024-03-29,2746.6298828125,905.5
2024-04-01,2747.860107421875,912.4500122070312
2024-04-02,2753.159912109375,891.5900268554688
2024-04-03,2706.969970703125,879.9600219726562
2024-04-04,2742.0,882.9000244140625
2024-04-05,2714.2099609375,872.2899780273438
2024-04-08,2717.64990234375,860.5700073242188
2024-04-09,2705.159912109375,859.3300170898438
2024-04-11,2706.9599609375,858.0999755859375
2024-04-12,2681.820068359375,860.469970703125
2024-04-15,2670.429931640625,852.4199829101562
2024-04-16,2609.6298828125,832.8099975585938
2024-04-17,2584.179931640625,833.030029296875
2024-04-18,2634.699951171875,855.6500244140625
2024-04-19,2591.860107421875,841.9099731445312
2024-04-22,2629.43994140625,845.8200073242188
2024-04-23,2623.02001953125,845.4400024414062
2024-04-24,2675.75,862.22998046875
2024-04-25,2628.6201171875,853.260009765625
2024-04-26,2656.330078125,856.8200073242188
2024-04-29,2687.43994140625,869.719970703125
2024-04-30,2692.06005859375,868.9299926757812
2024-05-02,2683.64990234375,867.47998046875
2024-05-03,2676.6298828125,865.5900268554688
2024-05-07,2734.360107421875,871.260009765625
2024-05-08,2745.050048828125,872.4199829101562
2024-05-09,2712.139892578125,870.1500244140625
2024-05-10,2727.6298828125,864.1599731445312
2024-05-13,2727.2099609375,854.4299926757812
2024-05-14,2730.340087890625,862.1500244140625
2024-05-16,2753.0,870.3699951171875
2024-05-17,2724.6201171875,855.0599975585938
2024-05-20,2742.139892578125,847.0800170898438
2024-05-21,2724.179931640625,846.510009765625
2024-05-22,2723.4599609375,845.719970703125
2024-05-23,2721.81005859375,846.5800170898438
2024-05-24,2687.60009765625,839.4099731445312
2024-05-27,2722.989990234375,847.989990234375
2024-05-28,2722.85009765625,851.010009765625
2024-05-29,2677.300048828125,838.4500122070312
2024-05-30,2635.43994140625,831.989990234375
2024-05-31,2636.52001953125,839.97998046875
2024-06-03,2682.52001953125,844.719970703125
2024-06-04,2662.10009765625,845.8400268554688
2024-06-05,2689.5,850.75
2024-06-07,2722.669921875,866.1799926757812
2024-06-10,2701.169921875,864.7100219726562
2024-06-11,2705.320068359375,868.3599853515625
2024-06-12,2728.169921875,870.6699829101562
2024-06-13,2754.889892578125,871.3300170898438
2024-06-14,2758.419921875,862.1900024414062
2024-06-17,2744.10009765625,858.9600219726562
2024-06-18,2763.919921875,858.9500122070312
2024-06-19,2797.330078125,861.1699829101562
2024-06-20,2807.6298828125,857.510009765625
2024-06-21,2784.260009765625,852.6699829101562
2024-06-24,2764.72998046875,841.52001953125
2024-06-25,2774.389892578125,841.989990234375
2024-06-26,2792.050048828125,842.1199951171875
2024-06-27,2784.06005859375,838.6500244140625
2024-06-28,2797.820068359375,840.4400024414062
2024-07-01,2804.31005859375,847.1500244140625
2024-07-02,2780.860107421875,829.9099731445312
2024-07-03,2794.010009765625,836.0999755859375
